,Unnamed: 0,Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales
0,0,9.3,0.016047301,249.8092,3735.138
1,1,5.92,0.019278216,48.2692,443.4228
2,2,17.5,0.016760075,141.618,2097.27
3,3,19.2,0.0,182.095,732.38
4,4,8.93,0.0,53.8614,994.7052
5,5,10.395,0.0,51.4008,556.6088
6,6,13.65,0.012741089,57.6588,343.5528
7,7,12.952258064516126,0.127469857,107.7622,4022.7636
8,8,16.2,0.016687114,96.9726,1076.5986
9,9,19.2,0.09444959,187.8214,4710.535
10,10,11.8,0.0,45.5402,1516.0266
11,11,18.5,0.045463773,144.1102,2187.153
12,12,15.1,0.1000135,145.4786,1589.2646
13,13,17.6,0.047257328,119.6782,2145.2076
14,14,16.35,0.06802430000000001,196.4426,1977.426
15,15,9.0,0.06908896099999999,56.3614,1547.3192
16,16,11.8,0.008596051,115.3492,1621.8888
17,17,9.0,0.06919637599999999,54.3614,718.3982
18,18,12.952258064516126,0.034237682,113.2834,2303.668
19,19,13.35,0.10249212,230.5352,2748.4224
20,20,18.85,0.138190277,250.8724,3775.086
21,21,12.952258064516126,0.035399923,144.5444,4064.0432
22,22,14.6,0.025698134,196.5084,1587.2672
23,23,12.952258064516126,0.057556998,107.6938,214.3876
24,24,13.85,0.025896485,165.021,4078.025
25,25,13.0,0.099887103,45.90600000000001,838.908
26,26,7.645,0.06669343700000001,42.3112,1065.28
27,27,11.65,0.019356132,39.1164,308.9312
28,28,5.925,0.161466534,45.5086,178.4344
29,29,12.952258064516126,0.072221801,43.6454,125.8362
30,30,19.25,0.170348551,55.7956,163.7868
31,31,18.6,0.080829372,96.4436,2741.7644
32,32,18.7,0.0,256.6672,3068.0064
33,33,17.85,0.0,93.1436,2174.5028
34,34,17.5,0.097904029,174.8738,2085.2856
35,35,10.0,0.08929113699999999,146.7102,3791.0652
36,36,12.952258064516126,0.059511812,128.0678,2797.6916
37,37,8.85,0.113123893,122.5388,1609.9044
38,38,12.952258064516126,0.123111453,36.9874,388.1614
39,39,12.952258064516126,0.026480954,87.6198,2180.495
40,40,13.35,0.102511504,230.6352,3435.528
41,41,9.8,0.02681843,126.002,2150.534
42,42,13.6,0.117818348,192.9136,2527.3768
43,43,21.35,0.06910283099999999,259.9278,6768.5228
44,44,12.15,0.042277867,126.5046,373.5138
45,45,6.42,0.08949892599999999,178.1002,358.2004
46,46,19.6,0.0,153.3024,2428.8384
47,47,10.0,0.025879577,265.2226,5815.0972
48,48,15.85,0.121632721,60.622,2576.646
49,49,12.952258064516126,0.25539489600000004,196.8794,780.3176
50,50,7.39,0.067779712,143.8812,3134.5864
51,51,10.195,0.159803853,141.5154,850.8924
52,52,9.895,0.028696932,117.0492,810.9444
53,53,10.895,0.065041581,196.3794,3121.2704
54,54,12.15,0.028760013,151.4708,4815.0656
55,55,7.905,0.010053105,249.0408,6258.52
56,56,9.195,0.048157338,106.1622,2117.244
57,57,8.365,0.071958197,38.0506,796.9626
58,58,15.1,0.17348130399999998,194.511,4910.275
59,59,12.952258064516126,0.061082177,180.0344,892.172
60,60,10.0,0.0,246.9144,3185.1872
61,61,7.97,0.040071131,87.3514,1062.6168
62,62,12.952258064516126,0.012090074,38.2848,484.7024
63,63,12.952258064516126,0.15028599,51.0692,147.8076
64,64,12.952258064516126,0.026015519,255.8356,2543.356
65,65,17.7,0.195068226,185.4266,184.4266
66,66,19.35,0.033082215,172.5738,4865.6664
67,67,13.65,0.078946455,186.024,1118.544
68,68,17.6,0.041700756,164.8526,2302.3364
69,69,8.645,0.14342264300000002,95.841,2027.361
70,70,15.6,0.105296072,170.1764,3435.528
71,71,15.85,0.121531501,59.222,599.22
72,72,18.25,0.0,164.7526,4604.6728
73,73,7.855,0.011324862,189.6188,2285.0256
74,74,7.825,0.186357148,254.3698,5580.7356
75,75,8.39,0.024205661,114.0176,2290.3520000000008
76,76,12.85,0.033230816,172.3422,1207.0954
77,77,12.952258064516126,0.113720344,89.9804,643.1628
78,78,19.0,0.112556507,104.9622,1587.933
79,79,5.905,0.0,222.5456,5305.0944
80,80,7.76,0.059352240999999986,101.87,1697.79
81,81,11.8,0.014087057,180.3344,1427.4752
82,82,16.75,0.045230944,187.9556,4693.89
83,83,12.952258064516126,0.293417759,194.6136,583.2408
84,84,12.952258064516126,0.031382044,171.3764,3091.9752
85,85,15.5,0.12639886,177.0028,2479.4392
86,86,6.055,0.025403898,160.99200000000005,2716.4640000000004
87,87,12.952258064516126,0.039057677,155.963,3285.723
88,88,6.305,0.123115764,95.6436,661.8052
89,89,20.85,0.039624006,117.2808,1523.3504
90,90,20.75,0.040421193,122.173,369.519
91,91,8.895,0.105274111,39.9138,690.4346
92,92,19.6,0.033970195,55.1614,1381.535
93,93,19.7,0.053212652,57.893,622.523
94,94,9.8,0.024378706,114.5492,1274.3412
95,95,12.952258064516126,0.009714595,120.0414,487.3656
96,96,12.15,0.131383762,246.046,1231.73
97,97,8.75,0.07461309,187.4556,3755.112
98,98,12.952258064516126,0.028459761,149.9708,4363.6532
99,99,8.75,0.07462720099999999,187.8556,1314.2892
100,100,13.3,0.063695084,151.0708,1805.6496
101,101,12.952258064516126,0.045797829000000005,178.5344,2854.9504
102,102,8.31,0.115857223,179.1028,3896.2616
103,103,16.75,0.024832806,38.7822,667.7974
104,104,19.75,0.034027909,212.0902,3185.853
105,105,17.1,0.0467696,141.1838,2247.7408
106,106,10.5,0.116576702,163.121,1794.331
107,107,6.635,0.0,121.3098,2530.7058
108,108,12.952258064516126,0.278974075,225.372,679.1160000000001
109,109,14.15,0.035913805,41.4138,812.2760000000002
110,110,13.3,0.079806266,232.53,699.09
111,111,8.89,0.005505481,102.4016,2732.4432
112,112,12.952258064516126,0.064625342,176.937,176.437
113,113,12.952258064516126,0.071636937,121.7098,4097.3332
114,114,9.1,0.0,173.2054,3151.8972
115,115,7.5,0.032677677999999995,239.0906,5942.265
116,116,16.85,0.160760054,192.4478,4843.695
117,117,7.485,0.06911065,109.0228,2542.0244
118,118,11.6,0.041177505,140.3154,2552.6772
119,119,11.65,0.040081193,227.0694,1141.847
120,120,13.0,0.035307322,47.5034,680.4476
121,121,12.65,0.063017847,159.0578,2085.9514
122,122,20.25,0.171938781,92.512,186.424
123,123,8.6,0.040197932,190.153,3036.048
124,124,12.6,0.049058014,62.7194,866.8716
125,125,17.7,0.01161096,95.041,868.8689999999998
126,126,14.15,0.183507295,82.4276,1137.1864
127,127,19.25,0.102349519,52.7956,928.1252
128,128,8.88,0.08670898699999999,151.7682,762.341
129,129,20.5,0.032835147,40.2822,707.0796
130,130,12.952258064516126,0.033809913,180.5976,7968.2944
131,131,13.5,0.07266912,160.292,1438.128
132,132,12.952258064516126,0.144338493,224.4404,6976.2524
133,133,8.89,0.009163216,101.7016,101.2016
134,134,7.855,0.011307038,188.5188,952.094
135,135,7.235,0.076855628,116.0492,1969.4364
136,136,12.952258064516126,0.059956876,165.4526,5262.4832
137,137,6.92,0.038532062,60.5852,1314.2892
138,138,9.3,0.043209581,90.8172,535.3032
139,139,18.5,0.056816465,132.1284,263.6568
140,140,8.02,0.019866705,154.5972,1402.1748
141,141,9.195,0.048331717,105.1622,1693.7952
142,142,12.8,0.091221855,105.5938,2143.876
143,143,16.6,0.027622076,177.6344,2676.516
144,144,14.0,0.0,53.06399999999999,905.488
145,145,18.6,0.039355947,246.3802,7370.406
146,146,16.0,0.060836524,226.8404,6301.1312
147,147,17.6,0.082316506,160.692,1597.92
148,148,21.25,0.155350299,178.237,529.311
149,149,7.235,0.076841095,117.5492,1969.4364
